image#0#0	caption
1015584366_dfcec3c85a#1	grey dog is leaping over fallen tree
1015584366_dfcec3c85a#2	large black dog leaps fallen log
1015584366_dfcec3c85a#3	mottled black and grey dog in blue collar jumping over fallen tree
1015584366_dfcec3c85a#4	the black dog jumped the tree stump
101654506_8eb26cfb60#0	brown and white dog is running through the snow
101654506_8eb26cfb60#1	dog is running in the snow
101654506_8eb26cfb60#2	dog running through snow
101654506_8eb26cfb60#3	white and brown dog is running through snow covered field
101654506_8eb26cfb60#4	the white and brown dog is running over the surface of the snow
101669240_b2d3e7f17b#0	man in hat is displaying pictures next to skier in blue hat
101669240_b2d3e7f17b#1	man skis past another man displaying paintings in the snow
101669240_b2d3e7f17b#2	person wearing skis looking at framed pictures set up in the snow
101669240_b2d3e7f17b#3	skier looks at framed pictures in the snow next to trees
101669240_b2d3e7f17b#4	man on skis looking at artwork for sale in the snow
1016887272_03199f49c4#0	collage of one person climbing cliff
1016887272_03199f49c4#1	group of people are rock climbing on rock climbing wall
1016887272_03199f49c4#2	group of people climbing rock while one man belays
1016887272_03199f49c4#3	seven climbers are ascending rock face whilst another man stands holding the rope
1016887272_03199f49c4#4	several climbers in row are climbing the rock while the man in red watches and holds the line
1019077836_6fc9b15408#0	brown dog chases the water from sprinkler on lawn
1019077836_6fc9b15408#1	brown dog plays with the hose
1019077836_6fc9b15408#2	brown dog running on lawn near garden hose
1019077836_6fc9b15408#3	dog is playing with hose
1019077836_6fc9b15408#4	large brown dog running away from the sprinkler in the grass
1019604187_d087bf9a5f#0	dog prepares to catch thrown object in field with nearby cars
1019604187_d087bf9a5f#1	white dog is about to catch yellow ball in its mouth
1019604187_d087bf9a5f#2	white dog is about to catch yellow dog toy
1019604187_d087bf9a5f#3	white dog is ready to catch yellow ball flying through the air
1019604187_d087bf9a5f#4	white dog running after yellow ball
1020651753_06077ec457#0	black and white dog jumping in the air to get toy
1020651753_06077ec457#1	black and white dog jumps up towards yellow toy
1020651753_06077ec457#2	dog leaps to catch ball in field
1020651753_06077ec457#3	white dog is trying to catch ball in midair over grassy field
1020651753_06077ec457#4	the white dog is playing in green field with yellow toy
1022454332_6af2c1449a#0	child and woman are at waters edge in big city
1022454332_6af2c1449a#1	large lake with lone duck swimming in it with several people around the edge of it
1022454332_6af2c1449a#2	little boy at lake watching duck
1022454332_6af2c1449a#3	young boy waves his hand at the duck in the water surrounded by green park
1022454332_6af2c1449a#4	two people are at the edge of lake facing the water and the city skyline
1022454428_b6b660a67b#0	couple and an infant being held by the male sitting next to pond with near by stroller
1022454428_b6b660a67b#1	couple sit on the grass with baby and stroller
1022454428_b6b660a67b#2	couple with their newborn baby sitting under tree facing lake
1022454428_b6b660a67b#3	man and woman care for an infant along the side of body of water
1022454428_b6b660a67b#4	couple with baby sit outdoors next to their stroller
1022975728_75515238d8#0	black dog running in the surf
1022975728_75515238d8#1	black lab with tags frolicks in the water
1022975728_75515238d8#2	dog splashes in the water
1022975728_75515238d8#3	the black dog runs through the water
1022975728_75515238d8#4	this is black dog splashing in the water
102351840_323e3de834#0	man drilling hole in the ice
102351840_323e3de834#1	man is drilling through the frozen ice of pond
102351840_323e3de834#2	person in the snow drilling hole in the ice
102351840_323e3de834#3	person standing on frozen lake
102351840_323e3de834#4	two men are ice fishing
1024138940_f1fefbdce1#0	two different breeds of brown and white dogs play on the beach
1024138940_f1fefbdce1#1	two dogs are making turn on soft sand beach
1024138940_f1fefbdce1#2	two dogs playing in the sand at the beach
1024138940_f1fefbdce1#3	two dogs playing together on beach
1024138940_f1fefbdce1#4	two large tan dogs play along sandy beach
102455176_5f8ead62d5#0	man uses ice picks and crampons to scale ice
102455176_5f8ead62d5#1	an ice climber in blue jacket and black pants is scaling frozen ice wall
102455176_5f8ead62d5#2	an ice climber scaling frozen waterfall
102455176_5f8ead62d5#3	person in blue and red ice climbing with two picks
102455176_5f8ead62d5#4	climber climbing an ice wall
1026685415_0431cbf574#0	black dog carries green toy in his mouth as he walks through the grass
1026685415_0431cbf574#1	black dog carrying something through the grass
1026685415_0431cbf574#2	black dog has blue toy in its mouth
1026685415_0431cbf574#3	dog in grass with blue item in his mouth
1026685415_0431cbf574#4	wet black dog is carrying green toy through the grass
1028205764_7e8df9a2ea#0	man and baby are in yellow kayak on water
1028205764_7e8df9a2ea#1	man and little boy in blue life jackets are rowing yellow canoe
1028205764_7e8df9a2ea#2	man and child kayak through gentle waters
1028205764_7e8df9a2ea#3	man and young boy ride in yellow kayak
1028205764_7e8df9a2ea#4	man and child in yellow kayak
1030985833_b0902ea560#0	black dog and brown dog are jumping up to catch red toy
1030985833_b0902ea560#1	black dog and brown dog play with red toy on courtyard
1030985833_b0902ea560#2	brown and black lab are outside and the black lab is catching toy in its mouth
1030985833_b0902ea560#3	black dog snaps at red and black object as brown dog lunges
1030985833_b0902ea560#4	the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway
103106960_e8a41d64f8#0	boy with stick kneeling in front of goalie net
103106960_e8a41d64f8#1	child in red jacket playing street hockey guarding goal
103106960_e8a41d64f8#2	young kid playing the goalie in hockey rink
103106960_e8a41d64f8#3	young male kneeling in front of hockey goal with hockey stick in his right hand
103106960_e8a41d64f8#4	hockey goalie boy in red jacket crouches by goal with stick
103195344_5d2dc613a3#0	man in black is sitting next to modern art structure in front of glass building
103195344_5d2dc613a3#1	man sits and reads newspaper by sculpture outside of an office building
103195344_5d2dc613a3#2	man sits near large statue
103195344_5d2dc613a3#3	man sitting in front of metal sculpture in front of building
103195344_5d2dc613a3#4	the man with the backpack is sitting in buildings courtyard in front of an art sculpture reading
103205630_682ca7285b#0	tent is being set up on the ice
103205630_682ca7285b#1	two men are about to enter an ice fishing tent on snow covered lake
103205630_682ca7285b#2	two men setting up blue ice fishing hut on an iced over lake
103205630_682ca7285b#3	two men standing on an ice looking into something covered with blue tarp
103205630_682ca7285b#4	two people standing outside blue tent structure on snowy surface
1032122270_ea6f0beedb#0	woman crouches near three dogs in field
1032122270_ea6f0beedb#1	three dogs are playing on grassy hill with blue sky
1032122270_ea6f0beedb#2	three dogs are standing in the grass and person is sitting next to them
1032122270_ea6f0beedb#3	three dogs on grassy hill
1032122270_ea6f0beedb#4	three dogs stand in grassy field while person kneels nearby
1032460886_4a598ed535#0	man is standing in front of skyscraper
1032460886_4a598ed535#1	man stands in front of skyscraper
1032460886_4a598ed535#2	man stands in front of very tall building
1032460886_4a598ed535#3	behind the man in red shirt stands large skyscraper
1032460886_4a598ed535#4	there is skyscraper in the distance with man walking in front of the camera
1034276567_49bb87c51c#0	boy bites hard into treat while he sits outside
1034276567_49bb87c51c#1	child biting into baked good
1034276567_49bb87c51c#2	small boy putting something in his mouth with both hands
1034276567_49bb87c51c#3	the boy eats his food outside at the table
1034276567_49bb87c51c#4	the boy is eating pizza over tin dish
104136873_5b5d41be75#0	people sit on the mountainside and check out the view
104136873_5b5d41be75#1	three people are on hilltop overlooking green valley
104136873_5b5d41be75#2	three people hang out on top of big hill
104136873_5b5d41be75#3	three people overlook green valley
104136873_5b5d41be75#4	three people rest on ledge above the moutains
1042020065_fb3d3ba5ba#0	boy in green shirt is looking down at many inflatable boats
1042020065_fb3d3ba5ba#1	boy in green shirt watches kayakers
1042020065_fb3d3ba5ba#2	boy looks over railing at the many boats and rafts below in the water
1042020065_fb3d3ba5ba#3	young boy overlooking crowd of inflatable boats
1042020065_fb3d3ba5ba#4	young boy wearing jersey looks down over ledge at many boats in the water
1042590306_95dea0916c#0	man and woman pose for the camera while another man looks on
1042590306_95dea0916c#1	man is holding the hand of woman up to his mouth in front of some buildings while another man looks on
1042590306_95dea0916c#2	multiracial couple posing for picture
1042590306_95dea0916c#3	asian man and blond woman holding hands outdoors man in background watches
1042590306_95dea0916c#4	guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051_108ebc19be#0	person eats takeout while watching small television
1045521051_108ebc19be#1	person sits on the floor and eats in front of television
1045521051_108ebc19be#2	television with picture of girl on it
1045521051_108ebc19be#3	young man sits on the floor by the television with fast food meal in front of him
1045521051_108ebc19be#4	someone is laying in front of the tv eating food
1048710776_bb5b0a5c7c#0	couple of several people sitting on ledge overlooking the beach
1048710776_bb5b0a5c7c#1	group of people sit on wall at the beach
1048710776_bb5b0a5c7c#2	group of teens sit on wall by beach
1048710776_bb5b0a5c7c#3	crowd of people at the beach
1048710776_bb5b0a5c7c#4	several young people sitting on rail above crowded beach
1052358063_eae6744153#0	boy takes jump on his skateboard while another boy with skateboard watches
1052358063_eae6744153#1	child is performing skateboard trick while another child with skateboard leans on wall
1052358063_eae6744153#2	little boy skateboarder is doing trick on his board while another young skateboarder watches
1052358063_eae6744153#3	young boy skateboarder jumping on platform on skateboard
1052358063_eae6744153#4	two skateboarders
105342180_4d4a40b47f#0	girl paddling down large river as seen from behind her
105342180_4d4a40b47f#1	woman kayaking down river
105342180_4d4a40b47f#2	woman paddles boat down river
105342180_4d4a40b47f#3	woman with paddle
105342180_4d4a40b47f#4	woman with paddle sits in boat on the water
1053804096_ad278b25f1#0	girl in pigtails splashes in the shallow water
1053804096_ad278b25f1#1	girls plays in the surf
1053804096_ad278b25f1#2	girl with pigtails is playing in the ocean by the beach
1053804096_ad278b25f1#3	girl with pigtails plays in the water
1053804096_ad278b25f1#4	young girl in pigtails plays in the water
1055623002_8195a43714#0	group of four children wearing pajamas have pillow fight
1055623002_8195a43714#1	group of kids have pillowfight
1055623002_8195a43714#2	group of young children playing pillow fight on bed
1055623002_8195a43714#3	children having pillow fight
1055623002_8195a43714#4	four children are having pillow fight
1055753357_4fa3d8d693#0	two constructions workers sit on beam taking break
1055753357_4fa3d8d693#1	two construction workers are sitting up on the side of building
1055753357_4fa3d8d693#2	two construction workers sitting on an ibeam
1055753357_4fa3d8d693#3	two construction workers take seat on steel beam
1055753357_4fa3d8d693#4	two men take break from construction
1056249424_ef2a2e041c#0	the children are playing in the water
1056249424_ef2a2e041c#1	two boys one with yellow and orange ball play in some water in front of field
1056249424_ef2a2e041c#2	two boys play in puddle
1056249424_ef2a2e041c#3	two children play with balloon in mud on sunny day
1056249424_ef2a2e041c#4	two kids are running and playing in some water
1056338697_4f7d7ce270#0	blond woman in blue shirt appears to wait for ride
1056338697_4f7d7ce270#1	blond woman is on the street hailing taxi
1056338697_4f7d7ce270#2	woman is signaling is to traffic as seen from behind
1056338697_4f7d7ce270#3	woman with blonde hair wearing blue tube top is waving on the side of the street
1056338697_4f7d7ce270#4	the woman in the blue dress is holding out her arm at oncoming traffic
1056359656_662cee0814#0	little girl looking at brochure on train rides
1056359656_662cee0814#1	young blond girl with magizine in her hands
1056359656_662cee0814#2	young girl on train reads book about train rides
1056359656_662cee0814#3	young girl sits on seat and looks at train pamphlet
1056359656_662cee0814#4	child sitting down looking at train ride brochure
1056873310_49c665eb22#0	brown dog is running after black dog on rocky shore
1056873310_49c665eb22#1	brown dog is running after the black dog
1056873310_49c665eb22#2	two dogs playing on beach
1056873310_49c665eb22#3	two dogs run across stones near body of water
1056873310_49c665eb22#4	two dogs run towards each other on rocky area with water in the background
1057089366_ca83da0877#0	boy descends off the end of high diving board
1057089366_ca83da0877#1	child jumps off high diving board into the pool
1057089366_ca83da0877#2	kid jumps off the diving board and into the swimming pool below
1057089366_ca83da0877#3	little kid is jumping off high dive at the pool
1057089366_ca83da0877#4	the boy is jumping off high diving board into the pool
1057210460_09c6f4c6c1#0	guy stands by window taking his overshirt off
1057210460_09c6f4c6c1#1	man in tank top stands next to chrome door
1057210460_09c6f4c6c1#2	man puts his shirt on near an elevator
1057210460_09c6f4c6c1#3	man stands by an elevator with his head down
1057210460_09c6f4c6c1#4	the man is putting on his shirt near an elevator
1057251835_6ded4ada9c#0	lightcolored dog runs on the beach
1057251835_6ded4ada9c#1	small yellow dog runs on beach
1057251835_6ded4ada9c#2	tan dog runs on sandy beach
1057251835_6ded4ada9c#3	white dog is running down rocky beach
1057251835_6ded4ada9c#4	light brown dog running along the beach
106490881_5a2dd9b7bd#0	boy in his blue swim shorts at the beach
106490881_5a2dd9b7bd#1	boy smiles for the camera at beach
106490881_5a2dd9b7bd#2	young boy in swimming trunks is walking with his arms outstretched on the beach
106490881_5a2dd9b7bd#3	children playing on the beach
106490881_5a2dd9b7bd#4	the boy is playing on the shore of an ocean
106514190_bae200f463#0	hiker standing high on bluff overlooking the mountains below
106514190_bae200f463#1	person on ski looks from hill over snow covered landscape
106514190_bae200f463#2	skier is overlooking snowcovered mountain
106514190_bae200f463#3	skier is overlooking the beautiful white snow covered landscape
106514190_bae200f463#4	skier pauses on mountaintop
1067180831_a59dc64344#0	black and white dog is attempting to catch yellow and purple object in low cut yard
1067180831_a59dc64344#1	black and white dog jumps after yellow toy
1067180831_a59dc64344#2	black and white dog jumps to get the frisbee
1067180831_a59dc64344#3	black dog is jumping up to catch purple and green toy
1067180831_a59dc64344#4	dog jumps to catch toy
1067675215_7336a694d6#0	man in blue shorts is laying in the street
1067675215_7336a694d6#1	man in blue shorts lays down outside in parking lot
1067675215_7336a694d6#2	man laying down in middle of street during heavy traffic
1067675215_7336a694d6#3	man lies on mat in parking lot between brown suv and yellow pickup with an open door
1067675215_7336a694d6#4	shirtless man is laying down in the middle of busy street
1067790824_f3cc97239b#0	white and black dog and brown dog in sandy terrain
1067790824_f3cc97239b#1	woolly dog chases doberman on beach
1067790824_f3cc97239b#2	one dog is chasing another one on the beach
1067790824_f3cc97239b#3	the two large dogs are running through sand
1067790824_f3cc97239b#4	two large dogs chasing each other at the beach
1072153132_53d2bb1b60#0	black and white dog catches toy in midair
1072153132_53d2bb1b60#1	dog and tennis ball
1072153132_53d2bb1b60#2	dog is jumping to catch object thrown at it
1072153132_53d2bb1b60#3	dog leaps while chasing tennis ball through grassy field
1072153132_53d2bb1b60#4	multicolor dog jumping to catch tennis ball in grassy field
107318069_e9f2ef32de#0	crowd watching air balloons at night
107318069_e9f2ef32de#1	group of hot air balloons lit up at night
107318069_e9f2ef32de#2	people are watching hot air balloons in the park
107318069_e9f2ef32de#3	people watching hot air balloons
107318069_e9f2ef32de#4	seven large balloons are lined up at nighttime near crowd
1075716537_62105738b4#0	child with helmet on his head rides bike
1075716537_62105738b4#1	little boy rides bike down hill on miniature dirt bike
1075716537_62105738b4#2	young boy in helmet rides bike on the road
1075716537_62105738b4#3	the little boy rides his bicycle in race
1075716537_62105738b4#4	the young boy pedals quickly at bmx race
107582366_d86f2d3347#0	group of eight people are gathered around table at night
107582366_d86f2d3347#1	group of people gathered around in the dark
107582366_d86f2d3347#2	group of people sit around table outside on porch at night
107582366_d86f2d3347#3	group of people sit outdoors together at night
107582366_d86f2d3347#4	group of people sitting at table in darkened room
1075867198_27ca2e7efe#0	man in brown shirt and dark shorts plays on the beach with his two black dogs
1075867198_27ca2e7efe#1	man in shorts with two black dogs holds ball throwing toy at the beach
1075867198_27ca2e7efe#2	man playing with two black dogs on the beach
1075867198_27ca2e7efe#3	man with two dogs on beach
1075867198_27ca2e7efe#4	man at the beach with two dogs
1075881101_d55c46bece#0	boy cleans the bubbles off his face
1075881101_d55c46bece#1	boy covered in suds has his face wiped clean
1075881101_d55c46bece#2	boy is covered in bubbles
1075881101_d55c46bece#3	child covered in foam is climbing on black inflatable ramp
1075881101_d55c46bece#4	person covered in soapy water is getting cleaned off
1077546505_a4f6c4daa9#0	boy in blue shorts slides down slide into pool
1077546505_a4f6c4daa9#1	boy in blue swimming trunks slides down yellow slide into wading pool with inflatable toys floating in the water
1077546505_a4f6c4daa9#2	boy rides down slide into small backyard pool
1077546505_a4f6c4daa9#3	boy sliding down slide into pool with colorful tubes
1077546505_a4f6c4daa9#4	child is falling off slide onto colored balloons floating on pool of water
1077931201_1e0bb83105#0	man in wetsuit is throwing baby wearing wetsuit up into the air
1077931201_1e0bb83105#1	man in wetsuit is throwing toddler up in the air and is ready to catch him
1077931201_1e0bb83105#2	man in water throwing little boy up in the air and waiting for him to come down so he can catch him
1077931201_1e0bb83105#3	the man is in the pool and throwing small boy into the air
1077931201_1e0bb83105#4	while water droplets fly man throws little boy up in the air
1079274291_9aaf896cc1#0	little boy sticks his tongue out for the camera another boy looks on
1079274291_9aaf896cc1#1	two boys make faces
1079274291_9aaf896cc1#2	two young boys are looking at the camera one smiling the other sticking his tongue out
1079274291_9aaf896cc1#3	two young boys look up at the camera as one sticks out his tongue
1079274291_9aaf896cc1#4	two young boys making silly faces
10815824_2997e03d76#0	blonde horse and blonde girl in black sweatshirt are staring at fire in barrel
10815824_2997e03d76#1	girl and her horse stand by fire
10815824_2997e03d76#2	girl holding horse lead behind fire
10815824_2997e03d76#3	man and girl and two horses are near contained fire
10815824_2997e03d76#4	two people and two horses watching fire
1082252566_8c79beef93#0	bulldog sheep dog and boxer standing in yard
1082252566_8c79beef93#1	large brown dog is pushing small boston terrier with his face while anouther dog watches
1082252566_8c79beef93#2	large skinny dog stands near two smaller dogs int the dirt
1082252566_8c79beef93#3	there are three dogs starring at ball in the middle of them
1082252566_8c79beef93#4	three dogs of various sizes
1082379191_ec1e53f996#0	lady and man with no shirt sit on dock
1082379191_ec1e53f996#1	man and woman are sitting on dock together
1082379191_ec1e53f996#2	man and woman sitting on dock
1082379191_ec1e53f996#3	man and woman sitting on deck next to lake
1082379191_ec1e53f996#4	shirtless man and woman sitting on dock
1084040636_97d9633581#0	closeup of white dog that is laying its head on its paws
1084040636_97d9633581#1	large white dog lying on the floor
1084040636_97d9633581#2	white dog has its head on the ground
1084040636_97d9633581#3	white dog is resting its head on tiled floor with its eyes open
1084040636_97d9633581#4	white dog rests its head on the patio bricks
1084104085_3b06223afe#0	woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness
1084104085_3b06223afe#1	woman in blue shorts and white shirt is indoor rock climbing
1084104085_3b06223afe#2	the girl is climbing rock wall
1084104085_3b06223afe#3	the girl is in harness climbing rocks
1084104085_3b06223afe#4	woman climbing an artificial rock wall
1087168168_70280d024a#0	boy is jumping on an inflatable ring and girl is watching him
1087168168_70280d024a#1	boy jumping on water jumphouse
1087168168_70280d024a#2	teenage boy is jumping on an inflatable slide
1087168168_70280d024a#3	young boy jumping and young girl seating in an inflatable pool
1087168168_70280d024a#4	two young kids are playing in the water on an inflated toy
1087539207_9f77ab3aaf#0	family playing on tractor on beautiful day
1087539207_9f77ab3aaf#1	children ride tractor in field
1087539207_9f77ab3aaf#2	several children playing on polaris vehicle outdoors
1087539207_9f77ab3aaf#3	the children played on the four wheeler in the field
1087539207_9f77ab3aaf#4	the four kids are riding on an atv in field
1088767354_2acee738cf#0	woman in red costume to the left of man and woman standing together
1088767354_2acee738cf#1	woman wearing red costume looks at two other people standing on street
1088767354_2acee738cf#2	young woman in red sequined costume and feather stands on the sidewalk
1088767354_2acee738cf#3	the girl in the salmon colored bikini is standing next to two young people one is wearing black outfit and the other is drinking pop
1088767354_2acee738cf#4	two young people are approached by flamboyant young woman dressed in red bikini and red feathered headress
108898978_7713be88fc#0	skiiers walking up the hill through forest
108898978_7713be88fc#1	two men are skiing in the snow in wooded area
108898978_7713be88fc#2	two people wearing yellow jackets crosscountry skiing
108898978_7713be88fc#3	two skiers are making their way through woodland
108898978_7713be88fc#4	two skiers are sliding down trail in the woods
108899015_bf36131a57#0	lone skier is making their way up mountain
108899015_bf36131a57#1	skiiers at the top of snow covered hill
108899015_bf36131a57#2	two hikers climbing snowy hill
108899015_bf36131a57#3	two people are on snowcovered mountain
108899015_bf36131a57#4	two people climbing up snowy mountain
1089181217_ee1167f7af#0	brown dog running down paved pathway
1089181217_ee1167f7af#1	brown dog running next to grass
1089181217_ee1167f7af#2	dog is running down road
1089181217_ee1167f7af#3	light brown dog runs down path happily
1089181217_ee1167f7af#4	energetic brown dog running
1089755335_0bfbfd30e6#0	mother and children is fishing on boardwalk at night
1089755335_0bfbfd30e6#1	woman and three children stand on deck with fishing pole
1089755335_0bfbfd30e6#2	woman stands with children on boardwalk at night overlooking the sea
1089755335_0bfbfd30e6#3	some people on pier at night with one girl fishing off it
1089755335_0bfbfd30e6#4	woman with three children fishing over boardwalk in the evening
109202756_b97fcdc62c#0	woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain
109202756_b97fcdc62c#1	woman in blue jacket rides brown pony near water
109202756_b97fcdc62c#2	woman rides horse near frozen lake in the wintertime
109202756_b97fcdc62c#3	young blond woman sitting atop brown draft horse in the snowy mountains
109202756_b97fcdc62c#4	woman blue jacket sits on daft horse near frozen lake
109202801_c6381eef15#0	two draft horses pull cart through the snow
109202801_c6381eef15#1	two golden brown horses pull sleigh driven by woman in blue coat
109202801_c6381eef15#2	two horses are pulling woman in cart
109202801_c6381eef15#3	two horses pull carriage driven by woman over snow covered ground
109202801_c6381eef15#4	two horses pulling sled steered by smiling blond woman
109260216_85b0be5378#0	person climbing down sheer rock cliff using rope
109260216_85b0be5378#1	person climbs tall flat mountain while holding onto safety rope
109260216_85b0be5378#2	person is climbing rock while holding onto white rope
109260216_85b0be5378#3	person rappels down steep incline
109260216_85b0be5378#4	person wearing red vest climbs up steep rock
109260218_fca831f933#0	people stand inside rock dome
109260218_fca831f933#1	shaft of light in cave shows three spelunkers
109260218_fca831f933#2	spelunkers pose inside rock cavern while bathed in sunlight from the surface
109260218_fca831f933#3	three people sit in cave
109260218_fca831f933#4	three rock climbers are posing on big rocks
1093716555_801aacef79#0	group of backpackers lay on the dry ground
1093716555_801aacef79#1	group of hikers are resting on the ground in front of some mountains
1093716555_801aacef79#2	people camp with the mountains in the background
1093716555_801aacef79#3	several hikers rest with their gear in front of mountain
1093716555_801aacef79#4	the group of hikers is resting in front of mountain
1093737381_b313cd49ff#0	woman in blue dress stands with chalk portrait of two children playing by stream
1093737381_b313cd49ff#1	woman standing in front of chalk drawing
1093737381_b313cd49ff#2	woman stands next to chalk drawing in front of barnlike structure
1093737381_b313cd49ff#3	woman stands outside near an elaborate chalk illustration
1093737381_b313cd49ff#4	woman wearing blue dress is drawing picture of boy and girl on the sidewalk with sidewalk chalk
1094462889_f9966dafa6#0	brown dog plays in deep pile of snow
1094462889_f9966dafa6#1	dog looking at the camera in snow
1094462889_f9966dafa6#2	dog runs through the snow
1094462889_f9966dafa6#3	tan dog stand in the snow and looks up
1094462889_f9966dafa6#4	the brown dog is out in the snow
1095476286_87d4f8664e#0	boy jumping in fountain
1095476286_87d4f8664e#1	boy plays in the fountains
1095476286_87d4f8664e#2	child plays in fountain
1095476286_87d4f8664e#3	little boy playing in the water
1095476286_87d4f8664e#4	young boy is jumping through water being sprayed up from the ground
1095580424_76f0aa8a3e#0	corgi runs out of tunnel
1095580424_76f0aa8a3e#1	dog runs out of tunnel on course
1095580424_76f0aa8a3e#2	dog running out of tunnel on obstacle course
1095580424_76f0aa8a3e#3	the dog is running out of the tunnel on dog obedience course
1095580424_76f0aa8a3e#4	the small brown and white dog is running out of small tunnel
1095590286_c654f7e5a9#0	blond dog and black and white dog run in dirt field
1095590286_c654f7e5a9#1	dog chases another dog
1095590286_c654f7e5a9#2	yellow dog and black and white dog are running in the dirt
1095590286_c654f7e5a9#3	two dogs are running in field
1095590286_c654f7e5a9#4	two dogs running around
1095980313_3c94799968#0	little girl in blue swimsuit is walking along wooden fence next to sandy beach
1095980313_3c94799968#1	little girl with arms outstretched is posing at the beach
1095980313_3c94799968#2	young girl walks on railing in front of the beach
1095980313_3c94799968#3	little girl in blue swimsuit standing on handrail near beach
1095980313_3c94799968#4	the little girl in the blue bathing suit is posing at the beach
1096097967_ac305887b4#0	black and white dog drinking water from water spray
1096097967_ac305887b4#1	black and white dog is being soaked with jet of water in blue paddling pool
1096097967_ac305887b4#2	dog sticking its face into the shower from garden hose
1096097967_ac305887b4#3	small white dog gets sprayed by water
1096097967_ac305887b4#4	white and black dog is jumping into pool
1096165011_cc5eb16aa6#0	boy smiles underwater
1096165011_cc5eb16aa6#1	redheaded boy swimming underwater
1096165011_cc5eb16aa6#2	small boy swimming underwater
1096165011_cc5eb16aa6#3	smiling boy swims underwater in pool
1096165011_cc5eb16aa6#4	the boys smiles underwater at the pool
1096395242_fc69f0ae5a#0	boy with toy gun
1096395242_fc69f0ae5a#1	little boy in orange shorts playing with toy
1096395242_fc69f0ae5a#2	young boy with his foot outstretched aims toy at the camera in front of fireplace
1096395242_fc69f0ae5a#3	young child plays with his new lightup toy
1096395242_fc69f0ae5a#4	boy with toy gun pointed at the camera
109671650_f7bbc297fa#0	boy in yellow shorts is standing on top of cliff
109671650_f7bbc297fa#1	boy wearing blue and yellow walking on cliff edge
109671650_f7bbc297fa#2	little boy standing high in the air on rock
109671650_f7bbc297fa#3	young child is standing alone on some jagged rocks
109671650_f7bbc297fa#4	child stands near edge of cliff
109738763_90541ef30d#0	person on snowmobile in mid jump
109738763_90541ef30d#1	snowmobiler flies through the air
